# DerivedCombiningClass-15.0.0.txt
# Date: 2022-04-26, 23:14:29 GMT
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Combining Class (listing UnicodeData.txt, field 3: see UAX #44: https://www.unicode.org/reports/tr44/)

#  All code points not explicitly listed for Canonical_Combining_Class
#  have the value Not_Reordered (0).

# @missing: 0000..10FFFF; Not_Reordered

# ================================================

# Canonical_Combining_Class=Not_Reordered

07A6..07B0    ; 0 # Mn  [11] THAANA ABAFILI..THAANA SUKUN
07B1          ; 0 # Lo       THAANA LETTER NAA
07C0..07C9    ; 0 # Nd  [10] NKO DIGIT ZERO..NKO DIGIT NINE
07CA..07EA    ; 0 # Lo  [33] NKO LETTER A..NKO LETTER JONA RA
07F4..07F5    ; 0 # Lm   [2] NKO HIGH TONE APOSTROPHE..NKO LOW TONE APOSTROPHE
07F6          ; 0 # So       NKO SYMBOL OO DENNEN
07F7..07F9    ; 0 # Po   [3] NKO SYMBOL GBAKURUNEN..NKO EXCLAMATION MARK
07FA          ; 0 # Lm       NKO LAJANYALAN
07FE..07FF    ; 0 # Sc   [2] NKO DOROME SIGN..NKO TAMAN SIGN
0800..0815    ; 0 # Lo  [22] SAMARITAN LETTER ALAF..SAMARITAN LETTER TAAF
081A          ; 0 # Lm       SAMARITAN MODIFIER LETTER EPENTHETIC YUT
0824          ; 0 # Lm       SAMARITAN MODIFIER LETTER SHORT A
0828          ; 0 # Lm       SAMARITAN MODIFIER LETTER I
0830..083E    ; 0 # Po  [15] SAMARITAN PUNCTUATION NEQUDAA..SAMARITAN PUNCTUATION ANNAAU
0840..0858    ; 0 # Lo  [25] MANDAIC LETTER HALQA..MANDAIC LETTER AIN
085E          ; 0 # Po       MANDAIC PUNCTUATION
0860..086A    ; 0 # Lo  [11] SYRIAC LETTER MALAYALAM NGA..SYRIAC LETTER MALAYALAM SSA
0870..0887    ; 0 # Lo  [24] ARABIC LETTER ALEF WITH ATTACHED FATHA..ARABIC BASELINE ROUND DOT
0888          ; 0 # Sk       ARABIC RAISED ROUND DOT
0889..088E    ; 0 # Lo   [6] ARABIC LETTER NOON WITH INVERTED SMALL V..ARABIC VERTICAL TAIL
0890..0891    ; 0 # Cf   [2] ARABIC POUND MARK ABOVE..ARABIC PIASTRE MARK ABOVE
08A0..08C8    ; 0 # Lo  [41] ARABIC LETTER BEH WITH SMALL V BELOW..ARABIC LETTER GRAF
08C9          ; 0 # Lm       ARABIC SMALL FARSI YEH
08E2          ; 0 # Cf       ARABIC DISPUTED END OF AYAH
0900..0902    ; 0 # Mn   [3] DEVANAGARI SIGN INVERTED CANDRABINDU..DEVANAGARI SIGN ANUSVARA
0903          ; 0 # Mc       DEVANAGARI SIGN VISARGA
0904..0939    ; 0 # Lo  [54] DEVANAGARI LETTER SHORT A..DEVANAGARI LETTER HA
093A          ; 0 # Mn       DEVANAGARI VOWEL SIGN OE
093B          ; 0 # Mc       DEVANAGARI VOWEL SIGN OOE
093D          ; 0 # Lo       DEVANAGARI SIGN AVAGRAHA
093E..0940    ; 0 # Mc   [3] DEVANAGARI VOWEL SIGN AA..DEVANAGARI VOWEL SIGN II
0941..0948    ; 0 # Mn   [8] DEVANAGARI VOWEL SIGN U..DEVANAGARI VOWEL SIGN AI
0949..094C    ; 0 # Mc   [4] DEVANAGARI VOWEL SIGN CANDRA O..DEVANAGARI VOWEL SIGN AU
094E..094F    ; 0 # Mc   [2] DEVANAGARI VOWEL SIGN PRISHTHAMATRA E..DEVANAGARI VOWEL SIGN AW
0950          ; 0 # Lo       DEVANAGARI OM
0955..0957    ; 0 # Mn   [3] DEVANAGARI VOWEL SIGN CANDRA LONG E..DEVANAGARI VOWEL SIGN UUE
0958..0961    ; 0 # Lo  [10] DEVANAGARI LETTER QA..DEVANAGARI LETTER VOCALIC LL
0962..0963    ; 0 # Mn   [2] DEVANAGARI VOWEL SIGN VOCALIC L..DEVANAGARI VOWEL SIGN VOCALIC LL
0964..0965    ; 0 # Po   [2] DEVANAGARI DANDA..DEVANAGARI DOUBLE DANDA
0966..096F    ; 0 # Nd  [10] DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT NINE
0970          ; 0 # Po       DEVANAGARI ABBREVIATION SIGN
0971          ; 0 # Lm       DEVANAGARI SIGN HIGH SPACING DOT
0972..0980    ; 0 # Lo  [15] DEVANAGARI LETTER CANDRA A..BENGALI ANJI
0981          ; 0 # Mn       BENGALI SIGN CANDRABINDU
0982..0983    ; 0 # Mc   [2] BENGALI SIGN ANUSVARA..BENGALI SIGN VISARGA
0985..098C    ; 0 # Lo   [8] BENGALI LETTER A..BENGALI LETTER VOCALIC L
098F..0990    ; 0 # Lo   [2] BENGALI LETTER E..BENGALI LETTER AI
0993..09A8    ; 0 # Lo  [22] BENGALI LETTER O..BENGALI LETTER NA
09AA..09B0    ; 0 # Lo   [7] BENGALI LETTER PA..BENGALI LETTER RA
09B2          ; 0 # Lo       BENGALI LETTER LA
09B6..09B9    ; 0 # Lo   [4] BENGALI LETTER SHA..BENGALI LETTER HA
09BD          ; 0 # Lo       BENGALI SIGN AVAGRAHA
09BE..09C0    ; 0 # Mc   [3] BENGALI VOWEL SIGN AA..BENGALI VOWEL SIGN II
09C1..09C4    ; 0 # Mn   [4] BENGALI VOWEL SIGN U..BENGALI VOWEL SIGN VOCALIC RR
09C7..09C8    ; 0 # Mc   [2] BENGALI VOWEL SIGN E..BENGALI VOWEL SIGN AI
09CB..09CC    ; 0 # Mc   [2] BENGALI VOWEL SIGN O..BENGALI VOWEL SIGN AU
09CE          ; 0 # Lo       BENGALI LETTER KHANDA TA
09D7          ; 0 # Mc       BENGALI AU LENGTH MARK
09DC..09DD    ; 0 # Lo   [2] BENGALI LETTER RRA..BENGALI LETTER RHA
09DF..09E1    ; 0 # Lo   [3] BENGALI LETTER YYA..BENGALI LETTER VOCALIC LL
09E2..09E3    ; 0 # Mn   [2] BENGALI VOWEL SIGN VOCALIC L..BENGALI VOWEL SIGN VOCALIC LL
09E6..09EF    ; 0 # Nd  [10] BENGALI DIGIT ZERO..BENGALI DIGIT NINE
09F0..09F1    ; 0 # Lo   [2] BENGALI LETTER RA WITH MIDDLE DIAGONAL..BENGALI LETTER RA WITH LOWER DIAGONAL
09F2..09F3    ; 0 # Sc   [2] BENGALI RUPEE MARK..BENGALI RUPEE SIGN
09F4..09F9    ; 0 # No   [6] BENGALI CURRENCY NUMERATOR ONE..BENGALI CURRENCY DENOMINATOR SIXTEEN
09FA          ; 0 # So       BENGALI ISSHAR
09FB          ; 0 # Sc       BENGALI GANDA MARK
09FC          ; 0 # Lo       BENGALI LETTER VEDIC ANUSVARA
09FD          ; 0 # Po       BENGALI ABBREVIATION SIGN
0A01..0A02    ; 0 # Mn   [2] GURMUKHI SIGN ADAK BINDI..GURMUKHI SIGN BINDI
0A03          ; 0 # Mc       GURMUKHI SIGN VISARGA
0A05..0A0A    ; 0 # Lo   [6] GURMUKHI LETTER A..GURMUKHI LETTER UU
0A0F..0A10    ; 0 # Lo   [2] GURMUKHI LETTER EE..GURMUKHI LETTER AI
0A13..0A28    ; 0 # Lo  [22] GURMUKHI LETTER OO..GURMUKHI LETTER NA
0A2A..0A30    ; 0 # Lo   [7] GURMUKHI LETTER PA..GURMUKHI LETTER RA
0A32..0A33    ; 0 # Lo   [2] GURMUKHI LETTER LA..GURMUKHI LETTER LLA
0A35..0A36    ; 0 # Lo   [2] GURMUKHI LETTER VA..GURMUKHI LETTER SHA
0A38..0A39    ; 0 # Lo   [2] GURMUKHI LETTER SA..GURMUKHI LETTER HA
0A3E..0A40    ; 0 # Mc   [3] GURMUKHI VOWEL SIGN AA..GURMUKHI VOWEL SIGN II
0A41..0A42    ; 0 # Mn   [2] GURMUKHI VOWEL SIGN U..GURMUKHI VOWEL SIGN UU
0A47..0A48    ; 0 # Mn   [2] GURMUKHI VOWEL SIGN EE..GURMUKHI VOWEL SIGN AI
0A4B..0A4C    ; 0 # Mn   [2] GURMUKHI VOWEL SIGN OO..GURMUKHI VOWEL SIGN AU
0A51          ; 0 # Mn       GURMUKHI SIGN UDAAT
0A59..0A5C    ; 0 # Lo   [4] GURMUKHI LETTER KHHA..GURMUKHI LETTER RRA
0A5E          ; 0 # Lo       GURMUKHI LETTER FA
0A66..0A6F    ; 0 # Nd  [10] GURMUKHI DIGIT ZERO..GURMUKHI DIGIT NINE
0A70..0A71    ; 0 # Mn   [2] GURMUKHI TIPPI..GURMUKHI ADDAK
0A72..0A74    ; 0 # Lo   [3] GURMUKHI IRI..GURMUKHI EK ONKAR
0A75          ; 0 # Mn       GURMUKHI SIGN YAKASH
0A76          ; 0 # Po       GURMUKHI ABBREVIATION SIGN
0A81..0A82    ; 0 # Mn   [2] GUJARATI SIGN CANDRABINDU..GUJARATI SIGN ANUSVARA
0A83          ; 0 # Mc       GUJARATI SIGN VISARGA
0A85..0A8D    ; 0 # Lo   [9] GUJARATI LETTER A..GUJARATI VOWEL CANDRA E
0A8F..0A91    ; 0 # Lo   [3] GUJARATI LETTER E..GUJARATI VOWEL CANDRA O
0A93..0AA8    ; 0 # Lo  [22] GUJARATI LETTER O..GUJARATI LETTER NA
0AAA..0AB0    ; 0 # Lo   [7] GUJARATI LETTER PA..GUJARATI LETTER RA
0AB2..0AB3    ; 0 # Lo   [2] GUJARATI LETTER LA..GUJARATI LETTER LLA
0AB5..0AB9    ; 0 # Lo   [5] GUJARATI LETTER VA..GUJARATI LETTER HA
0ABD          ; 0 # Lo       GUJARATI SIGN AVAGRAHA
0ABE..0AC0    ; 0 # Mc   [3] GUJARATI VOWEL SIGN AA..GUJARATI VOWEL SIGN II
0AC1..0AC5    ; 0 # Mn   [5] GUJARATI VOWEL SIGN U..GUJARATI VOWEL SIGN CANDRA E
0AC7..0AC8    ; 0 # Mn   [2] GUJARATI VOWEL SIGN E..GUJARATI VOWEL SIGN AI
0AC9          ; 0 # Mc       GUJARATI VOWEL SIGN CANDRA O
0ACB..0ACC    ; 0 # Mc   [2] GUJARATI VOWEL SIGN O..GUJARATI VOWEL SIGN AU
0AD0          ; 0 # Lo       GUJARATI OM
0AE0..0AE1    ; 0 # Lo   [2] GUJARATI LETTER VOCALIC RR..GUJARATI LETTER VOCALIC LL
0AE2..0AE3    ; 0 # Mn   [2] GUJARATI VOWEL SIGN VOCALIC L..GUJARATI VOWEL SIGN VOCALIC LL
0AE6..0AEF    ; 0 # Nd  [10] GUJARATI DIGIT ZERO..GUJARATI DIGIT NINE
0AF0          ; 0 # Po       GUJARATI ABBREVIATION SIGN
0AF1          ; 0 # Sc       GUJARATI RUPEE SIGN
0AF9          ; 0 # Lo       GUJARATI LETTER ZHA
0AFA..0AFF    ; 0 # Mn   [6] GUJARATI SIGN SUKUN..GUJARATI SIGN TWO-CIRCLE NUKTA ABOVE
0B01          ; 0 # Mn       ORIYA SIGN CANDRABINDU
0B02..0B03    ; 0 # Mc   [2] ORIYA SIGN ANUSVARA..ORIYA SIGN VISARGA
0B05..0B0C    ; 0 # Lo   [8] ORIYA LETTER A..ORIYA LETTER VOCALIC L
0B0F..0B10    ; 0 # Lo   [2] ORIYA LETTER E..ORIYA LETTER AI
0B13..0B28    ; 0 # Lo  [22] ORIYA LETTER O..ORIYA LETTER NA
0B2A..0B30    ; 0 # Lo   [7] ORIYA LETTER PA..ORIYA LETTER RA
0B32..0B33    ; 0 # Lo   [2] ORIYA LETTER LA..ORIYA LETTER LLA
0B35..0B39    ; 0 # Lo   [5] ORIYA LETTER VA..ORIYA LETTER HA
0B3D          ; 0 # Lo       ORIYA SIGN AVAGRAHA
0B3E          ; 0 # Mc       ORIYA VOWEL SIGN AA
0B3F          ; 0 # Mn       ORIYA VOWEL SIGN I
0B40          ; 0 # Mc       ORIYA VOWEL SIGN II
0B41..0B44    ; 0 # Mn   [4] ORIYA VOWEL SIGN U..ORIYA VOWEL SIGN VOCALIC RR
0B47..0B48    ; 0 # Mc   [2] ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B4B..0B4C    ; 0 # Mc   [2] ORIYA VOWEL SIGN O..ORIYA VOWEL SIGN AU
0B55..0B56    ; 0 # Mn   [2] ORIYA SIGN OVERLINE..ORIYA AI LENGTH MARK
0B57          ; 0 # Mc       ORIYA AU LENGTH MARK
0B5C..0B5D    ; 0 # Lo   [2] ORIYA LETTER RRA..ORIYA LETTER RHA
0B5F..0B61    ; 0 # Lo   [3] ORIYA LETTER YYA..ORIYA LETTER VOCALIC LL
0B62..0B63    ; 0 # Mn   [2] ORIYA VOWEL SIGN VOCALIC L..ORIYA VOWEL SIGN VOCALIC LL
0B66..0B6F    ; 0 # Nd  [10] ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B70          ; 0 # So       ORIYA ISSHAR
0B71          ; 0 # Lo       ORIYA LETTER WA
0B72..0B77    ; 0 # No   [6] ORIYA FRACTION ONE QUARTER..ORIYA FRACTION THREE SIXTEENTHS
0B82          ; 0 # Mn       TAMIL SIGN ANUSVARA
0B83          ; 0 # Lo       TAMIL SIGN VISARGA
0B85..0B8A    ; 0 # Lo   [6] TAMIL LETTER A..TAMIL LETTER UU
0B8E..0B90    ; 0 # Lo   [3] TAMIL LETTER E..TAMIL LETTER AI
0B92..0B95    ; 0 # Lo   [4] TAMIL LETTER O..TAMIL LETTER KA
0B99..0B9A    ; 0 # Lo   [2] TAMIL LETTER NGA..TAMIL LETTER CA
0B9C          ; 0 # Lo       TAMIL LETTER JA
0B9E..0B9F    ; 0 # Lo   [2] TAMIL LETTER NYA..TAMIL LETTER TTA
0BA3..0BA4    ; 0 # Lo   [2] TAMIL LETTER NNA..TAMIL LETTER TA
0BA8..0BAA    ; 0 # Lo   [3] TAMIL LETTER NA..TAMIL LETTER PA
0BAE..0BB9    ; 0 # Lo  [12] TAMIL LETTER MA..TAMIL LETTER HA
0BBE..0BBF    ; 0 # Mc   [2] TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN I
0BC0          ; 0 # Mn       TAMIL VOWEL SIGN II
0BC1..0BC2    ; 0 # Mc   [2] TAMIL VOWEL SIGN U..TAMIL VOWEL SIGN UU
0BC6..0BC8    ; 0 # Mc   [3] TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BCA..0BCC    ; 0 # Mc   [3] TAMIL VOWEL SIGN O..TAMIL VOWEL SIGN AU
0BD0          ; 0 # Lo       TAMIL OM
0BD7          ; 0 # Mc       TAMIL AU LENGTH MARK
0BE6..0BEF    ; 0 # Nd  [10] TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0BF0..0BF2    ; 0 # No   [3] TAMIL NUMBER TEN..TAMIL NUMBER ONE THOUSAND
0BF3..0BF8    ; 0 # So   [6] TAMIL DAY SIGN..TAMIL AS ABOVE SIGN
0BF9          ; 0 # Sc       TAMIL RUPEE SIGN
0BFA          ; 0 # So       TAMIL NUMBER SIGN
0C00          ; 0 # Mn       TELUGU SIGN COMBINING CANDRABINDU ABOVE
0C01..0C03    ; 0 # Mc   [3] TELUGU SIGN CANDRABINDU..TELUGU SIGN VISARGA
0C04          ; 0 # Mn       TELUGU SIGN COMBINING ANUSVARA ABOVE
